URI,Title,DLL Author,DLL Title,Creator,Time,Publisher,Date,Source,URL,Rights
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/21,Die Briefwechsel der Mathematiker Bernoulli,"71168 : Bernoulli, Daniel, 1700-1782;xx",XX,Fritz Nagel,Early Modern,University of Basel,1997,University of Basel,http://www.ub.unibas.ch/bernoulli/index.php/Hauptseite,Open Access and Open Source. All data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/113,Conclusiones CM,"45457 : Pico della Mirandola, Giovanni",xx,Massimo Riva,Middle Ages,Brown University,2002,British Library,http://www.stg.brown.edu/projects/pico/about.php,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/83,D. Iunii Iuvenalis Saturae,44692 : Juvenal,Saturae (80404),Michael Hendry,Antiquity,none,1998 - 2001,Various,http://www.curculio.org/Juvenal/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/243,Johannes Tinctoris: Complete Theoretical Works,"92453 : Tinctoris, Johannes, -1511","xx, et alia",Ronald Woodley,Middle Ages,Birmingham Conservatoire of Birmingham City University,2011,Various,http://earlymusictheory.org/Tinctoris/,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/32,The St Gall Priscian Glosses,"52597 : Priscian, active approximately 500-530",Institutiones grammaticae (81941),Pádraic Moran,Middle Ages,National University of Ireland,2009 - 2011,Stiftsbibliothek St. Gallen,http://www.stgallpriscian.ie,Open Access and Open Source. All data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/14,Becerro Galicano of San Millán de la Cogolla,Anonymous,XX,David Peterson,Middle Ages,Universidad del País Vasco,None,Various,http://www.ehu.es/galicano/?l=en,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/12,Catullus Online,"44793 : Catullus, Gaius Valerius",Carmina (87405);Carminum fragmenta (87406),Dániel Kiss,Antiquity,Ludwig-Maximilians-Universität München,2009 - 2013,Various,http://www.catullusonline.org/CatullusOnline/index.php,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/101,Edition der falschen Kapitularien des Benedictus Levita,Anonymous,XX,Gerhard Schmitz;Veronika Lukas,Middle Ages,Monumenta Germaniae Historica,1998,Troyes BM;Monserrat BA;Bibliothèque Nationale de France;Biblioteca Apostolica Vaticana,http://www.benedictus.mgh.de/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/78,M. Valerii Martialis Epigrammaton Liber IV,45037 : Martial,Epigrammata (80993),Michael Hendry,Antiquity,Bowling Green State University,2005 - 2007,not provided,http://www.curculio.org/Martial/Martial04.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/172,The Burnet Psalter,"44880 : Jerome, Saint, 419 or 420",Liber Psalmorum (89322),not provided,Middle Ages,University of Aberdeen,1994,Aberdeen University Library,http://www.abdn.ac.uk/diss/historic/collects/bps/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/282,Opera Aesthetica Szerdahelyana / Szerdahely György Alajos esztétikai írásai,xx,XX,Debreczeni Attila,Long Nineteenth Century,none,2013,not provided,http://deba.unideb.hu/deba/szerdahely/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/111,John Foxe's The Acts and Monuments Online,"92454 : Foxe, John, 1516-1587",xx,Mark Greengrass,Early Modern,University of Ohio;British Academy,1996 - 2011,N/A,http://www.johnfoxe.org/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/55,The Casebooks Project,"92458 : Napier, Richard, 1559-1634;92457 : Forman, Simon, 1552-1611",XX,Lauren Kassell,Early Modern,University of Cambridge,2010 - 2018,Bodleian Library,http://www.magicandmedicine.hps.cam.ac.uk/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/4,Saint Patrick's Confessio,"45312 : Patrick, Saint",Confessio (81199);Epistola Ad Coroticum (81201),Anthony Harvey,Antiquity,University College Dublin;Royal Irish Academy;Irish Centre for High End Computing;Herzog August Bibliothek Wolfenbüttel;Cologne Center for eHumanities,2011,"Various (Paris, Rouen, Arras, Salisbury, London, Oxford)",http://www.confessio.ie/#,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/95,e-sequence: Digital Edition of the Saint Gall corpus of Sequences by Notker Balbulus,"45088 : Notker, Balbulus, approximately 840-912",XX,Christoph Flüeler,Middle Ages,Christophorus Records;University of Fribourg;Musikwissenschaftliches Institut der Universität Tübingen;Südwest-Rundfunk Tübingen;Stiftsbibliothek St. Gallen,None,Abbey of Saint Gall,http://www.e-sequence.eu/en/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/20,Henry III Fine Rolls Project,Anonymous,XX,Paul Dryburgh;Harold Short;David Crook;Arianna Ciula;Beth Hartland;Sean Cunningham;David Carpenter;Louise Wilkinson,Middle Ages,Canterbury Christ Church University,2005 - 2011,The National Archives,http://www.finerollshenry3.org.uk/,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/105,Doomsday Explorer,Anonymous,xx,John Palmer,Middle Ages,University of Hull,1980 - 2010,The National Archives,http://www.domesdaybook.net,not catalogued yet
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/56,The Confessions of Augustine: An Electronic Edition,"44566 : Augustine, of Hippo, Saint, 354-430",Confessionum libri tredecim (80101),James J. O'Donnell,Antiquity,University of Kentucky,None,N/A,http://www.stoa.org/hippo/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/81,Sulpiciae Conquestio,Anonymous,XX,Michael Hendry,Antiquity,none,None,Lost,http://www.curculio.org/Sulpiciae/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/218,Johann Christian Senckenberg: Digital Edition of the Diaries,"92459 : Senckenberg, Johann Christian, 1707-1772",XX,not provided,Early Modern,none,2010,Universitätsbibliothek Frankfurt am Main ,http://senckenberg.ub.uni-frankfurt.de/s/startpage,Open Access and Open Source. All data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/58,The Gospel according to St. John,"92455 : John, the Apostle, Saint",Evangelium secundum Ioannem (Vetus Latina) (92456),Various,Antiquity,none,2007 - 2010,Various,http://www.iohannes.com/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/36,Alciato's Book of Emblems,"71215 : Alciati, Andrea, 1492-1550",Emblemata (92460),William Barker,Early Modern,Memorial University of Newfoundland,1995 - 2005,Various,http://www.mun.ca/alciato/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/63,The Augsburg Web Edition of Llull's Electoral Writings,"70783 : Llull, Ramon, 1232?-1316",xx,Gerlinde Wolsleben,Middle Ages,University of Augsburg,None,Universitat de Barcelona;St. Nikolaus-Hospital Cusanusstift;Biblioteca Apostolica Vaticana;Bayerische Staatsbibliothek,http://www.math.uni-augsburg.de/stochastik/llull/,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/209,Die Relatio Adelberts von Heidenheim und der Text Ilsungs,xx,XX,Christian Schwaderer,Middle Ages,University of Tübingen,2014 - 2016,Dioezesanarchiv Eichstaett,http://www.forschungsdatenarchiv.escience.uni-tuebingen.de/adlils/,Open Access and Open Source. All data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/245,Magistri Guillelmi Autissiodorensis Summa de officiis ecclesiasticis,xx,XX,Franz Fischer,Middle Ages,none,2007 - 2013,Various,http://guillelmus.uni-koeln.de/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/87,The Gascon Rolls Project,Anonymous,XX,Paul Spence,Middle Ages,none,2008,The National Archives,http://www.gasconrolls.org/en/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/91,Hyperdonat,"44491 : Donatus, Aelius;44774 : Cassiodorus, Senator",Commentum Terentii (90723);Commentum Terentii: Phormio (80052);Commentum Terentii: Hecyra (80051);Commentum Terentii: Eunuchus (80050);Commentum Terentii: Andria (80049);Commentum Terentii: Adelphoe (80048);Expositio psalmorum (82603),Bruno Bureau,Antiquity,École de l’Innovation et de l’Expertise Informatique (EPITECH);École Nationale Supérieure des Sciences de l'Information et des Bibliothèques (ENSSIB);Université Jean Moulin Lyon 3,2007,Various,http://hyperdonat.ens-lyon.fr/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/104,William of Ockham: Dialogus,"70822 : William, of Ockham, approximately 1285-approximately 1349",Dialogus (83711),John Kilcullen,Middle Ages,none,1995,Various,http://www.britac.ac.uk/pubs/dialogus/ockdial.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/189,The Planctus for William Longsword,Anonymous,XX,Robert Helmerichs,Middle Ages,European University Institute,1999 - 2002,Lafayette University Library;Biblioteca Medicea Laurenziana,http://vlib.iue.it/carrie/documents/planctus/planctus/index.html,not catalogued yet
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/23,Die Glossen Ekkeharts IV. im Codex Sangallensis 621,"45105 : Orosius, Paulus",Historiarum aduersum paganos libri VII (81125),Heidi Eisenhut,Middle Ages,University of Zürich,2005 - 2010,Stiftsbibliothek St. Gallen,http://orosius.monumenta.ch/,Open Access and Open Source. All data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/158,Le Cartulaire de la seigneurie de Nesle,Anonymous,XX,not provided,Middle Ages,none,None,Musée Condé,http://www.cn-telma.fr/nesle/index/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/97,The Latin Prose and Poetry of Joseph Addison,"45473 : Addison, Joseph",xx,Dana Sutton,Early Modern,none,1997 - 2005,not provided,http://www.philological.bham.ac.uk/Addison/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/241,"Ursus from Benevento, De nomine",DNE,DNE,Paolo Monella,Middle Ages,Università degli Studi di Palermo,2017,Biblioteca Casanatense,http://www1.unipa.it/paolo.monella/ursus/transcription.html,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/287,"Margit-legenda (Szent Margit élete, 1510)",xx,XX,M. Nagy Ilona;Boda István Károly;Porkoláb Judit;Varga Teréz,Middle Ages,none,2011,Országos Széchényi Könyvtár,http://deba.unideb.hu/deba/Margit-legenda_Szent_Margit_elete_1510/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/226,Clavius on the Web,xx,XX,Irene Pedretti,Early Modern,Istituto di Informatica e Telematica (IIT);Istituto di Linguistica Computazionale (ILC);Archivio Storico della Pontificia Università Gregoriana,None,Various,http://claviusontheweb.it/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/131,Edizione Critica Ipertestuale dello Zibaldone Laurenziano (Pluteo XXIX.8) autografo di Giovanni Boccaccio,"70832 : Boccaccio, Giovanni, 1313-1375",xx,Raul Mordenti,Middle Ages,Università degli Studi di Roma La Sapienza,1996,Biblioteca Medicea Laurenziana,http://rmcisadu.let.uniroma1.it/boccaccio/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/96,Phineas Fletcher's Sylva Poetica ,"45472 : Fletcher, Phineas",xx,Dana Sutton,Early Modern,none,1998 - 1999,University of Cambridge,http://www.philological.bham.ac.uk/sylva/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/77,The Aberdeen Bestiary,"44926 : Isidore, of Seville, Saint;45393 : Solinus, C. Julius, active 3rd century?;44573 : Ambrose, Saint, Bishop of Milan;44880 : Jerome, Saint, 419 or 420;44899 : Hugh, of Fouilloy",Etymologiarum siue Originum libri XX (83056);Physiologus latinus (84355);Exameron (80258);Genesis (89302);Collectanea Rerum Memorabilium (81422),Michael Arnott,Middle Ages,none,None,Aberdeen University Library,http://www.abdn.ac.uk/bestiary/,"Same as above, but the subscription is free of charge."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/212,Codice Pelavicino,Anonymous,XX,Enrica Salvatori,Middle Ages,Università degli Studi di Torino,2014,Archivio Capitolare della Diocesi di Luni,http://pelavicino.labcd.unipi.it/,"Same as above, but the subscription is free of charge."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/7,Vindolanda Tablets Online,Anonymous,xx,Charles Crowther;Alan Bowman,Antiquity,none,2001 - 2003,The British Museum,http://vindolanda.csad.ox.ac.uk/index.shtml,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/80,Sexti Propertii Elegiae,"45347 : Propertius, Sextus",Elegiae (81281),Michael Hendry,Antiquity,none,1998 - 2001,Various,http://www.curculio.org/Propertius/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/52,Niccolò Canussio: De restitutione patriae,xx,xx,Roberto Gusmani,Middle Ages,Fondazione Niccolò Canussio,None,N/A,http://www.fondazionecanussio.org/patria.htm,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/82,Claudii Claudiani Carmina Latina,"49542 : Claudianus, Claudius",xx,Michael Hendry,Antiquity,none,1998 - 2004,Various,http://www.curculio.org/Claudian/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/115,Pico della Mirandola: De hominis dignitate,"45457 : Pico della Mirandola, Giovanni",xx,Massimo Riva,Middle Ages,none,None,Università degli Studi di Bologna;Biblioteca Comunale dell'Archiginnasio di Bologna;John Hay Library,http://www.brown.edu/Departments/Italian_Studies/pico/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/127,Vercelli Book Digitale,xx,xx,Roberto Rosselli Del Turco,Middle Ages,none,2003,Archivio Capitolare di Vercelli,http://vbd.humnet.unipi.it,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/126,The Newton Project,"45507 : Newton, Isaac",xx,Robert Iliffe,Early Modern,University of Sussex,1998,Cambridge University Library,http://www.newtonproject.sussex.ac.uk/prism.php?id=1,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/79,P. Ovidii Nasonis Heroides I,"45112 : Ovid, 43 B.C.-17 A.D. or 18 A.D. ",Heroides (81134),Michael Hendry,Antiquity,none,2008,Various,http://www.curculio.org/Ovid/h01.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/136,Actes Royaux,Anonymous,XX,Xavier Hélary,Middle Ages,none,None,not provided,http://www.cn-telma.fr/actesroyaux/index/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/155,John Barclay: Argenis,"71155 : Barclay, John, 1582-1621",Argenis (83949),not provided,Early Modern,none,None,Various,http://www.chlt.org/sandbox/colloquia/argenis/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/178,The Geese Book,xx,XX,Corine Schleif;Volker Schier,Early Modern,Arizona State University,None,The Morgan Library and Museum,http://geesebook.asu.edu,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/1,Digitale Edition der Handschrift Cod. Guelf. 64 Weiss.,xx,xx,Torsten Schaßan,Middle Ages,none,2006 - 2010,Herzog August Bibliothek Wolfenbüttel,http://diglib.hab.de/edoc/ed000006/startx.htm,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
