,name,,
0,"La Sale, Antoine de, 1385?-1461?",http://viaf.org/viaf/95150005,"La Sale, Antoine de, 1385?-1461?"
1,"Knoellinger, Hermann, 1883-1914",http://viaf.org/viaf/69677212,"Knoellinger, Hermann, 1883-1914"
2,"Derz, Friedrich (1913-)",http://viaf.org/viaf/255335688,"Derz, Friedrich (1913-)"
3,"Wesenberg, Albert Sadolin, 1804-1876",http://viaf.org/viaf/166719978,"Wesenberg, Albert Sadolin, 1804-1876"
4,"Monet, Pascal",http://viaf.org/viaf/37019864,"Monet, Pascal"
6,"Schiche, Theodor",http://viaf.org/viaf/17313742,"Schiche, Theodor"
7,"Inama, Vigilio, 1835-1912",http://viaf.org/viaf/75149830,"Inama, Vigilio, 1835-1912"
8,"Romarino, Felice",http://viaf.org/viaf/252281727,"Romarino, Felice"
9,"Meissner, Carl, 1830-1900",http://viaf.org/viaf/27159657,"Meissner, Carl, 1830-1900"
10,"Klotz, Alfred, 1874-1956",http://viaf.org/viaf/12437909,"Klotz, Alfred, 1874-1956"
13,"Krumbiegel, Richard, 1867-",http://viaf.org/viaf/193967350,"Krumbiegel, Richard, 1867-"
14,"Boenig, Hermann",http://viaf.org/viaf/168507353,"Boenig, Hermann"
15,"Waltzing, Jean-Pierre, 1857-1929",http://viaf.org/viaf/45199363,"Waltzing, Jean-Pierre, 1857-1929"
16,"Röhl, Hermann, 1851-1923",http://viaf.org/viaf/91223281,"Röhl, Hermann, 1851-1923"
17,"Ritter, Constantin, 1859-1936",http://viaf.org/viaf/17283221,"Ritter, Constantin, 1859-1936"
18,"Radermacher, Ludwig, 1867-1952",http://viaf.org/viaf/5679336,"Radermacher, Ludwig, 1867-1952"
20,"Frey, Joseph, 1834-1910",http://viaf.org/viaf/81445136,"Frey, Joseph, 1834-1910"
21,"Deuerling, Andreas, 1838-1906",http://viaf.org/viaf/17964909,"Deuerling, Andreas, 1838-1906"
22,"Andresen, Georg, 1845-1929",http://viaf.org/viaf/79386784,"Andresen, Georg, 1845-1929"
23,"Sittl, Karl, 1862-1899",http://viaf.org/viaf/191393719,"Sittl, Karl, 1862-1899"
24,"Meyer, Wilhelm, 1845-1917.",http://viaf.org/viaf/44405315,"Meyer, Wilhelm, 1845-1917."
25,"Türk, Gustav",http://viaf.org/viaf/69712698,"Türk, Gustav"
26,"Zangemeister, Karl Friedrich Wilhelm, 1837-1902",http://viaf.org/viaf/10006731,"Zangemeister, Karl Friedrich Wilhelm, 1837-1902"
27,"Jahn, Johann Christian",http://viaf.org/viaf/195269406,"Jahn, Johann Christian"
28,"Güthling, Otto, 1853-1931",http://viaf.org/viaf/17986036,"Güthling, Otto, 1853-1931"
29,"Janell, Walther, 1877-1932",http://viaf.org/viaf/33004300,"Janell, Walther, 1877-1932"
31,"Benndorf, Otto, 1838-1907",http://viaf.org/viaf/64749914,"Benndorf, Otto, 1838-1907"
35,"Kuun, Géza, 1838-1905",http://viaf.org/viaf/29909384,"Kuun, Géza, 1838-1905"
37,"Dietrich, Waldemar, 1882-",http://viaf.org/viaf/89205113,"Dietrich, Waldemar, 1882-"
39,"Mueller, Otto, 1833-",http://viaf.org/viaf/89235814,"Mueller, Otto, 1833-"
40,"Benoist, Eugène, 1831-1887",http://viaf.org/viaf/88065580,"Benoist, Eugène, 1831-1887"
48,"Reisch, Emil, 1863-1933",http://viaf.org/viaf/13057950,"Reisch, Emil, 1863-1933"
50,"Hertlein, Friedrich Karl Gottlob, 1803-1880",http://viaf.org/viaf/45061868,"Hertlein, Friedrich Karl Gottlob, 1803-1880"
54,"Schlee, Friedrich H., 1854-1913",http://viaf.org/viaf/98187159,"Schlee, Friedrich H., 1854-1913"
55,"Rabe, Hugo",http://viaf.org/viaf/44690899,"Rabe, Hugo"
56,"Helmreich, Georg, 1849-1921",http://viaf.org/viaf/24690098,"Helmreich, Georg, 1849-1921"
57,"Breysig, Alfred August Bernhard, 1831-1902",http://viaf.org/viaf/82650429,"Breysig, Alfred August Bernhard, 1831-1902"
58,"Lüdtke, W. (Willy), 1875-",http://viaf.org/viaf/20453800,"Lüdtke, W. (Willy), 1875-"
59,"Nissen, Theodor Karl Johannes, 1873-",http://viaf.org/viaf/118342538,"Nissen, Theodor Karl Johannes, 1873-"
61,"Fox, Wilhelm, 1833-1925",http://viaf.org/viaf/5382826,"Fox, Wilhelm, 1833-1925"
65,"Hildebrandt, Paul",http://viaf.org/viaf/122220764,"Hildebrandt, Paul"
67,"Hedicke, Edmund",http://viaf.org/viaf/69329675,"Hedicke, Edmund"
68,"Schmid, Theodor, 1798-1877",http://viaf.org/viaf/7059470,"Schmid, Theodor, 1798-1877"
72,"Keller, Otto, 1838-1927",http://viaf.org/viaf/27173480,"Keller, Otto, 1838-1927"
74,"Vogel, Theodor, 1836-1912",http://viaf.org/viaf/911641,"Vogel, Theodor, 1836-1912"
75,"Flach, Hans",http://viaf.org/viaf/93408922,"Flach, Hans"
76,"Schermann, Theodor, 1878-1922",http://viaf.org/viaf/3242933,"Schermann, Theodor, 1878-1922"
77,"Claussen, Johannes Diederich Detlef,1849-1929",http://viaf.org/viaf/170460135,"Claussen, Johannes Diederich Detlef,1849-1929"
79,"Nauck, August, 1822-1892",http://viaf.org/viaf/73941797,"Nauck, August, 1822-1892"
80,"Krüger, Gustav, 1837-1912",http://viaf.org/viaf/88737214,"Krüger, Gustav, 1837-1912"
85,"Schmidt, Wilhelm, 1862-1905",http://viaf.org/viaf/56721405,"Schmidt, Wilhelm, 1862-1905"
87,"Schubart, Wilhelm, 1873-1960",http://viaf.org/viaf/109786099,"Schubart, Wilhelm, 1873-1960"
89,"Ranke, Friedrich, 1882-1950",http://viaf.org/viaf/64099123,"Ranke, Friedrich, 1882-1950"
90,"Häckermann, Adolf, 1819-",http://viaf.org/viaf/27500330,"Häckermann, Adolf, 1819-"
91,"Brandt, Paul, 1861-1932",http://viaf.org/viaf/57366049,"Brandt, Paul, 1861-1932"
93,"Loewe, Gustav, 1852-1883",http://viaf.org/viaf/27841494,"Loewe, Gustav, 1852-1883"
94,"Heraeus, W. (Wilhelm), 1862-1938",http://viaf.org/viaf/93792114,"Heraeus, W. (Wilhelm), 1862-1938"
96,"Thulin, Carl, 1871-1921",http://viaf.org/viaf/22930048,"Thulin, Carl, 1871-1921"
98,"Heraeus, Carl (Karl Jesaias), 1818-1891",http://viaf.org/viaf/8147016,"Heraeus, Carl (Karl Jesaias), 1818-1891"
100,"Ramorino, F. (Felice), 1852-1929",http://viaf.org/viaf/14441806,"Ramorino, F. (Felice), 1852-1929"
103,"Kroll, Wilhelm",http://viaf.org/viaf/71461012,"Kroll, Wilhelm"
104,"Hertlein, Friedrich Karl Gottlob",http://viaf.org/viaf/45061868,"Hertlein, Friedrich Karl Gottlob"
106,"Scheibe, Karl Friedrich, 1812-1869",http://viaf.org/viaf/46897910,"Scheibe, Karl Friedrich, 1812-1869"
107,"Egenolff, Peter, 1851-1901",http://viaf.org/viaf/88923162,"Egenolff, Peter, 1851-1901"
108,"Canabutzes, Joannes",http://viaf.org/viaf/27422318,"Canabutzes, Joannes"
111,"Gneist, Rudolph, 1816-1895",http://viaf.org/viaf/41907579,"Gneist, Rudolph, 1816-1895"
112,"Cumont, Franz, 1868-1947",http://viaf.org/viaf/71408810,"Cumont, Franz, 1868-1947"
113,"Bidez, Joseph, 1867-1945",http://viaf.org/viaf/66536121,"Bidez, Joseph, 1867-1945"
114,"Peter, Hermann, 1837-1914",http://viaf.org/viaf/37018460,"Peter, Hermann, 1837-1914"
117,"Bekker, Immanuel, 1785-1871",http://viaf.org/viaf/44387193,"Bekker, Immanuel, 1785-1871"
118,"Kaiser, Paul, 1852-1917",http://viaf.org/viaf/54527844,"Kaiser, Paul, 1852-1917"
119,"Herding, Wilhelm",http://viaf.org/viaf/2503152637809120220004,"Herding, Wilhelm"
122,"Hagen, Hermann, 1844-1898",http://viaf.org/viaf/12417688,"Hagen, Hermann, 1844-1898"
123,"Álvares, Manuel, 1526-1583",http://viaf.org/viaf/100899394,"Álvares, Manuel, 1526-1583"
125,"Andresen, Georg, 1845-",http://viaf.org/viaf/79386784,"Andresen, Georg, 1845-"
126,"Krueger, Paul, 1840-1926",http://viaf.org/viaf/12299629,"Krueger, Paul, 1840-1926"
127,"Krüger, G. T. A. (Georg Theodor August), 1793-1873",http://viaf.org/viaf/64760804,"Krüger, G. T. A. (Georg Theodor August), 1793-1873"
133,"Eyssenhardt, Franz, 1838-1901",http://viaf.org/viaf/8136466,"Eyssenhardt, Franz, 1838-1901"
134,"Gilbert, Walther, 1851-",http://viaf.org/viaf/2866761,"Gilbert, Walther, 1851-"
139,"Gast, Ernst-Reinhard 1842-1904",http://viaf.org/viaf/288335151,"Gast, Ernst-Reinhard 1842-1904"
141,"Moser, Georg Heinrich, 1780-1858",http://viaf.org/viaf/17657555,"Moser, Georg Heinrich, 1780-1858"
147,"Chatelain, Émile, 1851-1933",http://viaf.org/viaf/17294953,"Chatelain, Émile, 1851-1933"
149,"Brummer, Jacob",http://viaf.org/viaf/56994658,"Brummer, Jacob"
150,"Georges, Heinrich, 1852-1921",http://viaf.org/viaf/30291026,"Georges, Heinrich, 1852-1921"
151,"Weil, Henri, 1818-1909",http://viaf.org/viaf/29581524,"Weil, Henri, 1818-1909"
154,"Mekler, S. (Siegfried), 1852-1912",http://viaf.org/viaf/54299852,"Mekler, S. (Siegfried), 1852-1912"
155,"Dindorf, Wilhelm, 1802-1883",http://viaf.org/viaf/22184611,"Dindorf, Wilhelm, 1802-1883"
156,"Merzdorf, J. F. L. Theodor (Johann Friedrich Ludwig Theodor), 1812-1877",http://viaf.org/viaf/22905468,"Merzdorf, J. F. L. Theodor (Johann Friedrich Ludwig Theodor), 1812-1877"
158,"Weber, Ernestus",http://viaf.org/viaf/100906388,"Weber, Ernestus"
162,"Meurer, Wolfgang, 1513-1585",http://viaf.org/viaf/17987201,"Meurer, Wolfgang, 1513-1585"
163,"Künstle, Karl, 1859-1932",http://viaf.org/viaf/47517443,"Künstle, Karl, 1859-1932"
165,"Baehrens, W. A. (Willem Adolf), 1885-1929",http://viaf.org/viaf/117732601,"Baehrens, W. A. (Willem Adolf), 1885-1929"
167,"Giussani, Carlo, 1840-1900",http://viaf.org/viaf/64763228,"Giussani, Carlo, 1840-1900"
168,"Brieger, Adolf, 1832-1912",http://viaf.org/viaf/163533083,"Brieger, Adolf, 1832-1912"
174,"Hohl, Ernst, 1886-1957",http://viaf.org/viaf/37680907,"Hohl, Ernst, 1886-1957"
176,"Foerster, Richard, 1843-1922",http://viaf.org/viaf/95296613,"Foerster, Richard, 1843-1922"
177,"Dederich, Andreas, 1804-1886",http://viaf.org/viaf/74206345,"Dederich, Andreas, 1804-1886"
178,"Manitius, Max, 1858-1933",http://viaf.org/viaf/71536272,"Manitius, Max, 1858-1933"
179,"Pichlmayr, Franz",http://viaf.org/viaf/49315376,"Pichlmayr, Franz"
180,"Bauer, Ludwig, active 1883-1892",http://viaf.org/viaf/85974992,"Bauer, Ludwig, active 1883-1892"
181,"Deycks, Ferdinand, 1802-1867",http://viaf.org/viaf/754913,"Deycks, Ferdinand, 1802-1867"
182,"Vollgraff, J.C. (Johann Christoph), 1848-1920",http://viaf.org/viaf/30314793,"Vollgraff, J.C. (Johann Christoph), 1848-1920"
184,"Bernays, Jacob, 1824-1881.",http://viaf.org/viaf/34528124,"Bernays, Jacob, 1824-1881."
191,"Hofmeister, Adolf, 1883-1956",http://viaf.org/viaf/13071970,"Hofmeister, Adolf, 1883-1956"
192,"Owen, S. G. (Sidney George), 1858-1940",http://viaf.org/viaf/83056404,"Owen, S. G. (Sidney George), 1858-1940"
193,"Siebelis, Johannes, 1817-1867",http://viaf.org/viaf/54923312,"Siebelis, Johannes, 1817-1867"
194,"Polle, Friedrich, 1830-1902",http://viaf.org/viaf/20046665,"Polle, Friedrich, 1830-1902"
200,"Peterson, William, 1856-1921",http://viaf.org/viaf/24705767,"Peterson, William, 1856-1921"
202,"Benseler, Gustav Eduard, 1806-1868",http://viaf.org/viaf/66637300,"Benseler, Gustav Eduard, 1806-1868"
207,"Schömann, Georg Friedrich, 1793-1879",http://viaf.org/viaf/69693288,"Schömann, Georg Friedrich, 1793-1879"
209,"Usener, Hermann, 1834-1905",http://viaf.org/viaf/5005589,"Usener, Hermann, 1834-1905"
211,"Jacobitz, Karl",http://viaf.org/viaf/67232688,"Jacobitz, Karl"
215,"Huemer, Johann, 1849-1915",http://viaf.org/viaf/54136234,"Huemer, Johann, 1849-1915"
216,"Swoboda, Antonius, 1865-1928",http://viaf.org/viaf/61949392,"Swoboda, Antonius, 1865-1928"
217,"Harster, Wilhelm, 1846-1901",http://viaf.org/viaf/10206725,"Harster, Wilhelm, 1846-1901"
219,"Onions, John Henry, 1852-1889",http://viaf.org/viaf/18311197,"Onions, John Henry, 1852-1889"
222,"Curtze, E. L. W. M. (Ernst Ludwig Wilhelm Maximilian), 1837-1903",http://viaf.org/viaf/125220,"Curtze, E. L. W. M. (Ernst Ludwig Wilhelm Maximilian), 1837-1903"
223,"Menge, Heinrich",http://viaf.org/viaf/45979128,"Menge, Heinrich"
224,"Magnus, Hugo, 1851-1924",http://viaf.org/viaf/62306539,"Magnus, Hugo, 1851-1924"
